City,Year,Month,Avg_Temp
DFW,2010,Jan,44.3
DFW,2010,Feb,41.7
DFW,2010,Mar,55.7
DFW,2010,Apr,66.7
DFW,2010,May,76.9
DFW,2010,Jun,86.5
DFW,2010,July,85.9
DFW,2010,Aug,89.8
DFW,2010,Sept,79.8
DFW,2010,Oct,68.8
DFW,2010,Nov,58.4
DFW,2010,Dec,49.3
DFW,2011,Jan,42.8
DFW,2011,Feb,49.5
DFW,2011,Mar,61.3
DFW,2011,Apr,70.8
DFW,2011,May,72.8
DFW,2011,Jun,86.8
DFW,2011,July,91.4
DFW,2011,Aug,93.4
DFW,2011,Sept,80
DFW,2011,Oct,68.1
DFW,2011,Nov,57.9
DFW,2011,Dec,47.6
DFW,2012,Jan,50.4
DFW,2012,Feb,52.4
DFW,2012,Mar,64.3
DFW,2012,Apr,70.3
DFW,2012,May,77.9
DFW,2012,Jun,84.2
DFW,2012,July,87.7
DFW,2012,Aug,86.5
DFW,2012,Sept,80
DFW,2012,Oct,67
DFW,2012,Nov,59.7
DFW,2012,Dec,51.1
DFW,2013,Jan,49.1
DFW,2013,Feb,52
DFW,2013,Mar,56.4
DFW,2013,Apr,63
DFW,2013,May,72.3
DFW,2013,Jun,82.6
DFW,2013,July,84.4
DFW,2013,Aug,87.1
DFW,2013,Sept,82.4
DFW,2013,Oct,68.2
DFW,2013,Nov,53.5
DFW,2013,Dec,43.1
DFW,2014,Jan,45.3
DFW,2014,Feb,46.9
DFW,2014,Mar,55.1
DFW,2014,Apr,66.3
DFW,2014,May,74.4
DFW,2014,Jun,82.3
DFW,2014,July,83.8
DFW,2014,Aug,86.2
DFW,2014,Sept,80.3
DFW,2014,Oct,71.6
DFW,2014,Nov,51.5
DFW,2014,Dec,50.1
DFW,2015,Jan,44.5
DFW,2015,Feb,45.7
DFW,2015,Mar,56.1
DFW,2015,Apr,65.8
DFW,2015,May,70.9
DFW,2015,Jun,82.1
DFW,2015,July,87.1
DFW,2015,Aug,87.3
DFW,2015,Sept,82.7
DFW,2015,Oct,71.2
DFW,2015,Nov,58.7
DFW,2015,Dec,53.6
DFW,2016,Jan,47
DFW,2016,Feb,55.2
DFW,2016,Mar,61.2
DFW,2016,Apr,68.1
DFW,2016,May,72.5
DFW,2016,Jun,84
DFW,2016,July,87.4
DFW,2016,Aug,85.8
DFW,2016,Sept,81.5
DFW,2016,Oct,74.1
DFW,2016,Nov,63.5
DFW,2016,Dec,49.7
DFW,2017,Jan,51.2
DFW,2017,Feb,60.6
DFW,2017,Mar,65.7
DFW,2017,Apr,69.3
DFW,2017,May,75.4
DFW,2017,Jun,82.5
DFW,2017,July,86.6
DFW,2017,Aug,84.4
DFW,2017,Sept,80.6
DFW,2017,Oct,69.6
DFW,2017,Nov,62.4
DFW,2017,Dec,49.7
DFW,2018,Jan,45.8
