Energy Rate,Year,Month
11.58,2010,January
11.7,2010,February
11.88,2010,March
12.36,2010,April
12.22,2010,May
12.13,2010,June
11.99,2010,July
11.95,2010,August
11.49,2010,September
11.63,2010,October
11.37,2010,November
11.2,2010,December
10.96,2011,January
10.94,2011,February
11.49,2011,March
11.45,2011,April
11.51,2011,May
11.43,2011,June
11.35,2011,July
11.33,2011,August
11.33,2011,September
11.41,2011,October
11.39,2011,November
11.08,2011,December
11.04,2012,January
11.33,2012,February
11.27,2012,March
11.27,2012,April
11.07,2012,May
11.19,2012,June
11.11,2012,July
11.01,2012,August
11.17,2012,September
11.22,2012,October
11.17,2012,November
11.06,2012,December
10.89,2013,January
11.07,2013,February
11.03,2013,March
11.44,2013,April
11.59,2013,May
11.45,2013,June
11.42,2013,July
11.46,2013,August
11.33,2013,September
11.7,2013,October
11.68,2013,November
11.3,2013,December
11.19,2014,January
10.91,2014,February
11.7,2014,March
12.07,2014,April
11.89,2014,May
12.12,2014,June
12,2014,July
12.01,2014,August
11.99,2014,September
12.03,2014,October
11.94,2014,November
11.76,2014,December
11.54,2015,January
11.69,2015,February
11.64,2015,March
12.18,2015,April
12.11,2015,May
11.86,2015,June
11.58,2015,July
11.51,2015,August
11.65,2015,September
11.41,2015,October
11.48,2015,November
11.33,2015,December
10.95,2016,January
11.06,2016,February
11.25,2016,March
11.28,2016,April
11.11,2016,May
11.1,2016,June
10.86,2016,July
10.94,2016,August
11.13,2016,September
11,2016,October
11.11,2016,November
10.86,2016,December
10.84,2017,January
11.41,2017,February
11.31,2017,March
11.27,2017,April
11.17,2017,May
11.16,2017,June
11.04,2017,July
11.11,2017,August
11.27,2017,September
11.24,2017,October
11.4,2017,November
11.11,2017,December
10.85,2018,January
11.08,2018,February
11.58,2018,March
11.65,2018,April
11.68,2018,May
11.36,2018,June
11.25,2018,July
11.44,2018,August
11.59,2018,September
11.69,2018,October
11.8,2018,November
11.22,2018,December
11.51,2019,January
11.68,2019,February
11.67,2019,March
12.01,2019,April
12.06,2019,May
11.87,2019,June
11.76,2019,July
11.8,2019,August
11.85,2019,September
11.97,2019,October
12.21,2019,November
11.93,2019,December
11.75,2020,January
11.97,2020,February
12.09,2020,March
12.3,2020,April
11.98,2020,May
11.99,2020,June
11.82,2020,July
11.74,2020,August
12.01,2020,September
11.89,2020,October
12.2,2020,November
11.87,2020,December
