Year,Month,Energy Consumption,,,,,,,,,,,,
2010,January,"13,358",,,,,,,,,,,,
2010,February,"10,813",,,,,,,,,,,,
2010,March,"9,712",,,,,,,,,,,,
2010,April,"7,848",,,,,,,,,,,,
2010,May,"9,376",,,,,,,,,,,,
2010,June,"13,600",,,,,,,,,,,,
2010,July,"15,381",,,,,,,,,,,,
2010,August,"16,674",,,,,,,,,,,,
2010,September,"13,939",,,,,,,,,,,,
2010,October,"9,711",,,,,,,,,,,,
2010,November,"7,667",,,,,,,,,,,,
2010,December,"9,920",,,,,,,,,,,,
2011,January,"11,971",,,,,,,,,,,,
2011,February,"12,000",,,,,,,,,,,,
2011,March,"8,933",,,,,,,,,,,,
2011,April,"9,055",,,,,,,,,,,,
2011,May,"10,483",,,,,,,,,,,,
2011,June,"14,657",,,,,,,,,,,,
2011,July,"17,085",,,,,,,,,,,,
2011,August,"18,405",,,,,,,,,,,,
2011,September,"14,828",,,,,,,,,,,,
2011,October,"10,112",,,,,,,,,,,,
2011,November,"8,101",,,,,,,,,,,,
2011,December,"10,064",,,,,,,,,,,,
2012,January,"10,916",,,,,,,,,,,,
2012,February,"9,191",,,,,,,,,,,,
2012,March,"8,599",,,,,,,,,,,,
2012,April,"8,683",,,,,,,,,,,,
2012,May,"10,848",,,,,,,,,,,,
2012,June,"14,017",,,,,,,,,,,,
2012,July,"16,082",,,,,,,,,,,,
2012,August,"16,966",,,,,,,,,,,,
2012,September,"14,042",,,,,,,,,,,,
2012,October,"10,216",,,,,,,,,,,,
2012,November,"8,520",,,,,,,,,,,,
2012,December,"9,582",,,,,,,,,,,,
2013,January,"12,059",,,,,,,,,,,,
2013,February,"9,172",,,,,,,,,,,,
2013,March,"9,066",,,,,,,,,,,,
2013,April,"8,563",,,,,,,,,,,,
2013,May,"9,579",,,,,,,,,,,,
2013,June,"13,512",,,,,,,,,,,,
2013,July,"15,639",,,,,,,,,,,,
2013,August,"16,410",,,,,,,,,,,,
2013,September,"14,761",,,,,,,,,,,,
2013,October,"10,901",,,,,,,,,,,,
2013,November,"8,503",,,,,,,,,,,,
2013,December,"11,827",,,,,,,,,,,,
2014,January,"13,594",,,,,,,,,,,,
2014,February,"14,011",,,,,,,,,,,,
2014,March,"9,822",,,,,,,,,,,,
2014,April,"8,204",,,,,,,,,,,,
2014,May,"9,349",,,,,,,,,,,,
2014,June,"12,848",,,,,,,,,,,,
2014,July,"15,065",,,,,,,,,,,,
2014,August,"15,553",,,,,,,,,,,,
2014,September,"14,626",,,,,,,,,,,,
2014,October,"10,966",,,,,,,,,,,,
2014,November,"8,813",,,,,,,,,,,,
2014,December,"10,200",,,,,,,,,,,,
2015,January,"13,069",,,,,,,,,,,,
2015,February,"10,845",,,,,,,,,,,,
2015,March,"10,971",,,,,,,,,,,,
2015,April,"8,412",,,,,,,,,,,,
2015,May,"9,401",,,,,,,,,,,,
2015,June,"12,815",,,,,,,,,,,,
2015,July,"16,452",,,,,,,,,,,,
2015,August,"17,143",,,,,,,,,,,,
2015,September,"15,032",,,,,,,,,,,,
2015,October,"11,673",,,,,,,,,,,,
2015,November,"8,296",,,,,,,,,,,,
2015,December,"9,874",,,,,,,,,,,,
2016,January,"12,081",,,,,,,,,,,,
2016,February,"10,323",,,,,,,,,,,,
2016,March,"8,702",,,,,,,,,,,,
2016,April,"8,354",,,,,,,,,,,,
2016,May,"9,808",,,,,,,,,,,,
2016,June,"13,328",,,,,,,,,,,,
2016,July,"17,543",,,,,,,,,,,,
2016,August,"17,640",,,,,,,,,,,,
2016,September,"15,355",,,,,,,,,,,,
2016,October,"12,104",,,,,,,,,,,,
2016,November,"9,207",,,,,,,,,,,,
2016,December,"10,539",,,,,,,,,,,,
2017,January,"11,756",,,,,,,,,,,,
2017,February,"8,850",,,,,,,,,,,,
2017,March,"8,815",,,,,,,,,,,,
2017,April,"8,861",,,,,,,,,,,,
2017,May,"10,560",,,,,,,,,,,,
2017,June,"13,930",,,,,,,,,,,,
2017,July,"16,671",,,,,,,,,,,,
2017,August,"17,184",,,,,,,,,,,,
2017,September,"14,379",,,,,,,,,,,,
