City|Year|Month|Income
DFW|2010|Jan|$67,806
DFW|2010|Feb|$67,806
DFW|2010|Mar|$67,806
DFW|2010|Apr|$67,806
DFW|2010|May|$67,806
DFW|2010|Jun|$67,806
DFW|2010|July|$67,806
DFW|2010|Aug|$67,806
DFW|2010|Sept|$67,806
DFW|2010|Oct|$67,806
DFW|2010|Nov|$67,806
DFW|2010|Dec|$67,806
DFW|2011|Jan|$67,058
DFW|2011|Feb|$67,058
DFW|2011|Mar|$67,058
DFW|2011|Apr|$67,058
DFW|2011|May|$67,058
DFW|2011|Jun|$67,058
DFW|2011|July|$67,058
DFW|2011|Aug|$67,058
DFW|2011|Sept|$67,058
DFW|2011|Oct|$67,058
DFW|2011|Nov|$67,058
DFW|2011|Dec|$67,058
DFW|2012|Jan|$67,332
DFW|2012|Feb|$67,332
DFW|2012|Mar|$67,332
DFW|2012|Apr|$67,332
DFW|2012|May|$67,332
DFW|2012|Jun|$67,332
DFW|2012|July|$67,332
DFW|2012|Aug|$67,332
DFW|2012|Sept|$67,332
DFW|2012|Oct|$67,332
DFW|2012|Nov|$67,332
DFW|2012|Dec|$67,332
DFW|2013|Jan|$66,867
DFW|2013|Feb|$66,867
DFW|2013|Mar|$66,867
DFW|2013|Apr|$66,867
DFW|2013|May|$66,867
DFW|2013|Jun|$66,867
DFW|2013|July|$66,867
DFW|2013|Aug|$66,867
DFW|2013|Sept|$66,867
DFW|2013|Oct|$66,867
DFW|2013|Nov|$66,867
DFW|2013|Dec|$66,867
DFW|2014|Jan|$68,196
DFW|2014|Feb|$68,196
DFW|2014|Mar|$68,196
DFW|2014|Apr|$68,196
DFW|2014|May|$68,196
DFW|2014|Jun|$68,196
DFW|2014|July|$68,196
DFW|2014|Aug|$68,196
DFW|2014|Sept|$68,196
DFW|2014|Oct|$68,196
DFW|2014|Nov|$68,196
DFW|2014|Dec|$68,196
DFW|2015|Jan|$70,495
DFW|2015|Feb|$70,495
DFW|2015|Mar|$70,495
DFW|2015|Apr|$70,495
DFW|2015|May|$70,495
DFW|2015|Jun|$70,495
DFW|2015|July|$70,495
DFW|2015|Aug|$70,495
DFW|2015|Sept|$70,495
DFW|2015|Oct|$70,495
DFW|2015|Nov|$70,495
DFW|2015|Dec|$70,495
DFW|2016|Jan|$72,046
DFW|2016|Feb|$72,046
